poi_number,group,route,net_worth
76087,Group 6,DECBA,143
76088,Group 10,CEADB,591
76089,Group 4,ACBED,288
76090,Group 1,DCBAE,23
76091,Group 14,CADBE,679
76092,Group 20,EADCB,84
76093,Group 17,DCEBA,183
76094,Group 12,BACED,854
76095,Group 10,DACBE,640
76096,Group 6,EDCAB,816
76097,Group 1,CDEAB,827
76098,Group 8,EDCAB,106
76099,Group 14,AECBD,301
76100,Group 5,DBEAC,413
76101,Group 17,EBACD,295
76102,Group 15,EABDC,367
76103,Group 10,DECBA,741
76104,Group 20,CEADB,388
76105,Group 4,ABECD,511
76106,Group 11,EBCAD,780
76107,Group 5,ABECD,31
76108,Group 10,CAEBD,734
76109,Group 8,ECABD,641
76110,Group 2,CBDAE,681
76111,Group 19,BEACD,331
76112,Group 20,CADBE,546
76113,Group 17,EDBAC,306
76114,Group 2,AECDB,852
76115,Group 10,ACDBE,463
76116,Group 16,EBDAC,582
76117,Group 15,BADCE,37
76118,Group 15,DABCE,203
76119,Group 11,EBACD,971
76120,Group 19,EDACB,115
76121,Group 1,AEDBC,92
76122,Group 14,ECDBA,291
76123,Group 8,CEADB,658
76124,Group 6,CBDEA,295
76125,Group 17,DBACE,865
76126,Group 5,AEBDC,18
76127,Group 5,DEBCA,276
76128,Group 11,CADBE,27
76129,Group 12,DBACE,915
76130,Group 7,EBADC,219
76131,Group 12,CAEBD,399
76132,Group 3,BADCE,555
76133,Group 4,DEBAC,771
76134,Group 19,ABDEC,304
76135,Group 14,CEDAB,316
76136,Group 11,CAEDB,355
76137,Group 5,CEDBA,405
76138,Group 18,DECAB,208
76139,Group 9,EDABC,744
76140,Group 18,ECBAD,229
76141,Group 19,EDCAB,324
76142,Group 4,DECBA,101
76143,Group 5,AEDCB,577
76144,Group 2,ADCEB,348
76145,Group 13,EBCAD,162
76146,Group 15,ABECD,352
76147,Group 3,AECBD,231
76148,Group 20,ABCDE,631
76149,Group 15,DEABC,196
76150,Group 10,DBCEA,846
76151,Group 5,CDBEA,204
76152,Group 10,BEDAC,869
76153,Group 18,CBEAD,625
76154,Group 8,BCAED,404
76155,Group 16,EABCD,850
76156,Group 5,ABCDE,699
76157,Group 6,EDBCA,159
76158,Group 15,CDBEA,50
76159,Group 12,CABDE,739
76160,Group 2,BCEDA,172
76161,Group 14,BEADC,937
76162,Group 4,ECADB,48
76163,Group 9,BCAED,11
76164,Group 16,DBECA,627
76165,Group 15,ACEDB,863
76166,Group 8,ADCEB,331
76167,Group 15,DEBAC,806
76168,Group 2,BECDA,899
76169,Group 12,CDABE,272
76170,Group 15,DACBE,953
76171,Group 11,CADBE,557
76172,Group 16,BAEDC,859
76173,Group 2,ABCDE,627
76174,Group 2,CEDAB,31
76175,Group 19,EDABC,559
76176,Group 16,BDEAC,931
76177,Group 12,BDECA,713
76178,Group 3,AEBCD,451
76179,Group 20,ADCBE,811
76180,Group 6,DEBCA,203
76181,Group 14,ABDEC,956
76182,Group 11,DECAB,511
76183,Group 4,CBDEA,393
76184,Group 19,EDABC,337
76185,Group 4,DCEBA,181
76186,Group 12,DBECA,947
76187,Group 14,CAEBD,551
76188,Group 17,EBADC,93
76189,Group 12,DCABE,34
76190,Group 7,EBCDA,365
76191,Group 15,BDCAE,213
76192,Group 10,EBDAC,955
76193,Group 1,BACED,209
76194,Group 17,CBDEA,845
76195,Group 18,ECADB,577
76196,Group 14,DBAEC,604
76197,Group 2,ACDEB,67
76198,Group 18,DCEBA,717
76199,Group 11,CEBAD,281
76200,Group 17,AEDBC,101
76201,Group 8,ACDEB,874
76202,Group 16,ECBAD,865
76203,Group 8,BCADE,513
76204,Group 12,BDECA,47
76205,Group 14,BECAD,718
76206,Group 12,CABED,957
76207,Group 17,DBACE,750
76208,Group 10,BDECA,34
76209,Group 5,BCDAE,953
76210,Group 9,EBCDA,500
76211,Group 10,DBACE,653
76212,Group 1,ABDCE,125
76213,Group 13,CDABE,944
76214,Group 4,ADECB,166
76215,Group 3,DBEAC,937
76216,Group 3,ACDEB,351
76217,Group 3,CBEDA,555
76218,Group 9,ACBED,998
76219,Group 16,CAEDB,175
76220,Group 20,BCEDA,294
76221,Group 9,BCDAE,125
76222,Group 16,DBECA,5
76223,Group 19,EADBC,978
76224,Group 3,CBDEA,28
76225,Group 3,BEACD,136
76226,Group 10,AEDBC,734
76227,Group 2,CEDAB,66
76228,Group 4,BDCAE,209
76229,Group 18,DBAEC,588
76230,Group 7,CEABD,572
76231,Group 11,AEBCD,977
76232,Group 14,EBCDA,458
76233,Group 17,CDBAE,700
76234,Group 7,ADBEC,224
76235,Group 10,CAEBD,821
76236,Group 9,ABCDE,63
76237,Group 18,DCABE,774
76238,Group 3,AEDCB,576
76239,Group 8,CADBE,816
76240,Group 3,AEBDC,197
76241,Group 8,CADBE,982
76242,Group 18,EBACD,319
76243,Group 20,CBDAE,287
76244,Group 10,CDABE,126
76245,Group 7,CBADE,744
76246,Group 20,DACBE,338
76247,Group 4,EDBCA,251
76248,Group 13,EDABC,216
76249,Group 18,BCEDA,239
76250,Group 8,DEACB,750
76251,Group 10,ABDCE,418
76252,Group 5,ABDEC,906
76253,Group 10,ADECB,928
76254,Group 5,ACEBD,453
76255,Group 15,BDACE,919
76256,Group 16,EDCAB,178
76257,Group 18,DACEB,699
76258,Group 18,CADBE,582
76259,Group 5,ABCDE,922
76260,Group 8,DECBA,870
76261,Group 4,ADCEB,324
76262,Group 6,DACBE,664
76263,Group 20,BACED,985
76264,Group 7,DACBE,661
76265,Group 17,DBCEA,311
76266,Group 3,EDBCA,197
76267,Group 3,AECDB,608
76268,Group 3,DBACE,544
76269,Group 17,AECDB,64
76270,Group 15,CBADE,453
76271,Group 17,DAECB,404
76272,Group 5,BDEAC,726
76273,Group 17,DEBCA,408
76274,Group 8,CEDAB,786
76275,Group 4,DEACB,927
76276,Group 10,EACDB,321
76277,Group 19,BDCEA,495
76278,Group 5,CABDE,455
76279,Group 16,BDACE,175
76280,Group 19,AEBDC,729
76281,Group 20,CBDAE,312
76282,Group 8,DEBAC,618
76283,Group 8,BEACD,377
76284,Group 17,DBEAC,500
76285,Group 8,ADEBC,214
76286,Group 11,DCABE,662
76287,Group 14,CEBAD,177
76288,Group 2,DEBCA,473
76289,Group 5,DBAEC,696
76290,Group 14,ACDBE,247
76291,Group 6,EABDC,231
76292,Group 17,DBACE,451
76293,Group 6,DACBE,567
76294,Group 11,EDACB,805
76295,Group 13,EDBAC,501
76296,Group 4,EABCD,359
76297,Group 19,CBEAD,495
76298,Group 18,DCABE,271
76299,Group 10,ACEBD,525
76300,Group 10,DBECA,871
76301,Group 2,AECDB,306
76302,Group 5,CDBEA,686
76303,Group 7,ECBDA,120
76304,Group 20,CADEB,565
76305,Group 15,AECBD,230
76306,Group 10,DCEAB,182
76307,Group 10,BDECA,288
76308,Group 12,BEADC,327
76309,Group 10,BCDAE,384
76310,Group 9,DCAEB,584
76311,Group 17,BEACD,153
76312,Group 2,ACEDB,710
76313,Group 6,BDCAE,894
76314,Group 7,EDACB,451
76315,Group 16,CDEAB,287
76316,Group 5,DCABE,948
76317,Group 18,CDAEB,847
76318,Group 4,CDEBA,684
76319,Group 12,EDACB,517
76320,Group 18,ABCDE,221
76321,Group 19,ADBEC,361
76322,Group 15,ADEBC,418
76323,Group 15,BDECA,242
76324,Group 5,BDCAE,436
76325,Group 11,CABED,436
76326,Group 20,BADEC,525
76327,Group 9,DBACE,528
76328,Group 13,DECBA,231
76329,Group 7,DEABC,20
76330,Group 3,DEABC,647
76331,Group 5,EBCAD,512
76332,Group 9,CEBAD,129
76333,Group 8,DCEAB,755
76334,Group 10,CBAED,316
76335,Group 8,CBAED,226
76336,Group 3,EDABC,280
76337,Group 7,DCABE,537
76338,Group 16,ECABD,28
76339,Group 19,EACDB,395
76340,Group 2,ACBED,726
76341,Group 7,ABDCE,484
76342,Group 2,CBDEA,395
76343,Group 5,ADEBC,184
76344,Group 7,BDCAE,639
76345,Group 13,EADBC,327
76346,Group 14,AEDBC,566
76347,Group 9,CADBE,614
76348,Group 17,BCEAD,278
76349,Group 19,ADCEB,36
76350,Group 20,AECDB,700
76351,Group 6,DCEAB,108
76352,Group 7,CEDBA,809
76353,Group 6,CDEBA,938
76354,Group 2,CBDAE,988
76355,Group 17,BCEDA,404
76356,Group 17,BACDE,309
76357,Group 20,DEACB,913
76358,Group 4,EBADC,62
76359,Group 11,CDEAB,280
76360,Group 9,DEABC,175
76361,Group 4,CEBDA,455
76362,Group 7,EACDB,892
76363,Group 6,EADCB,570
76364,Group 3,DBAEC,938
76365,Group 16,BDAEC,9
76366,Group 9,AEBDC,591
76367,Group 2,CBEAD,932
76368,Group 8,DBECA,25
76369,Group 7,ADBCE,658
76370,Group 8,CDBEA,250
76371,Group 11,ADECB,321
76372,Group 16,CDAEB,902
76373,Group 9,CEBDA,388
76374,Group 7,CDAEB,809
76375,Group 5,AECBD,861
76376,Group 20,AECBD,283
76377,Group 19,BEADC,933
76378,Group 13,BDAEC,284
76379,Group 8,DBCAE,125
76380,Group 13,CABDE,256
76381,Group 7,ACEDB,997
76382,Group 13,BDCEA,816
76383,Group 18,EDCAB,678
76384,Group 10,AECDB,550
76385,Group 8,EDCBA,980
76386,Group 18,BEDAC,62
76387,Group 8,ABDCE,663
76388,Group 7,DBECA,890
76389,Group 19,EBCAD,839
76390,Group 5,DABEC,749
76391,Group 20,ADEBC,988
76392,Group 5,AEBCD,355
76393,Group 8,ACBDE,600
76394,Group 20,BACED,95
76395,Group 7,EABCD,250
76396,Group 3,BCADE,225
76397,Group 6,CAEBD,563
76398,Group 16,ACBDE,302
76399,Group 12,BCADE,781
76400,Group 6,CAEBD,16
76401,Group 10,BACED,808
76402,Group 12,ABCED,700
76403,Group 20,DCEAB,427
76404,Group 6,CBDEA,370
76405,Group 16,DACBE,558
76406,Group 16,DBEAC,658
76407,Group 6,ADEBC,660
76408,Group 17,EBACD,198
76409,Group 2,DBCEA,528
76410,Group 18,DBECA,184
76411,Group 17,AECDB,155
76412,Group 15,ACDEB,913
76413,Group 4,DCEBA,980
76414,Group 9,ACBED,413
76415,Group 19,ABDCE,709
76416,Group 2,DACBE,857
76417,Group 18,ADCBE,9
76418,Group 2,EACDB,928
76419,Group 4,ABECD,790
76420,Group 9,BDCEA,566
76421,Group 17,EDBCA,214
76422,Group 1,DAEBC,586
76423,Group 6,BACDE,383
76424,Group 16,CABED,849
76425,Group 1,BADEC,312
76426,Group 9,CBAED,879
76427,Group 8,DEABC,290
76428,Group 11,EBADC,304
76429,Group 13,BCEAD,808
76430,Group 6,ECBAD,141
76431,Group 14,BEADC,657
76432,Group 13,EBADC,619
76433,Group 2,EABCD,848
76434,Group 3,DBCEA,275
76435,Group 5,CDEAB,803
76436,Group 16,DCBEA,417
76437,Group 1,DEACB,581
76438,Group 16,ACDEB,318
76439,Group 16,DCBEA,612
76440,Group 7,CABDE,84
76441,Group 6,CEBDA,398
76442,Group 13,BADEC,59
76443,Group 8,BAECD,713
76444,Group 20,AEDBC,749
76445,Group 11,ADEBC,92
76446,Group 15,BADCE,910
76447,Group 5,CAEBD,860
76448,Group 7,DAECB,323
76449,Group 13,ACBDE,809
76450,Group 16,EDACB,730
76451,Group 15,ABECD,656
76452,Group 11,EBDAC,977
76453,Group 8,ABDEC,605
76454,Group 10,CEDAB,887
76455,Group 3,DEBCA,514
76456,Group 16,CBEDA,714
76457,Group 2,EBADC,502
76458,Group 14,ADECB,214
76459,Group 18,DEABC,557
76460,Group 8,CEBAD,861
76461,Group 20,CADBE,645
76462,Group 1,BEDCA,52
76463,Group 19,EABCD,729
76464,Group 2,BDECA,965
76465,Group 8,BEDCA,51
76466,Group 7,CDABE,349
76467,Group 15,DCEBA,975
76468,Group 10,ABDCE,297
76469,Group 15,DECAB,57
76470,Group 10,CADBE,604
76471,Group 2,ECDBA,160
76472,Group 8,CABDE,722
76473,Group 6,BCEDA,765
76474,Group 19,CBDEA,57
76475,Group 5,CBEDA,747
76476,Group 18,DECBA,34
76477,Group 16,BDAEC,934
76478,Group 8,EDACB,710
76479,Group 19,CAEDB,322
76480,Group 2,DABCE,146
76481,Group 20,ADBCE,646
76482,Group 9,BCDEA,97
76483,Group 8,CABDE,101
76484,Group 9,DECBA,552
76485,Group 18,BCAED,41
76486,Group 20,DBCAE,79
76487,Group 7,CBDAE,394
76488,Group 4,CAEBD,371
76489,Group 20,ECBDA,795
76490,Group 10,CBDEA,75
76491,Group 7,DEBCA,162
76492,Group 20,DCBEA,32
76493,Group 15,AECBD,795
76494,Group 4,CBDEA,682
76495,Group 17,BACED,705
76496,Group 20,BEDCA,704
76497,Group 18,BEADC,370
76498,Group 14,CDEBA,88
76499,Group 1,ABCED,44
76500,Group 12,EBADC,145
76501,Group 12,DBCAE,578
76502,Group 14,DCABE,483
76503,Group 16,EDABC,835
76504,Group 4,ABECD,938
76505,Group 5,CBEDA,394
76506,Group 9,BDAEC,185
76507,Group 7,EDBCA,37
76508,Group 2,DABEC,803
76509,Group 9,ABCDE,657
76510,Group 20,ECDAB,785
76511,Group 14,ECDBA,889
76512,Group 3,AEBDC,730
76513,Group 10,CEABD,225
76514,Group 7,AEDBC,238
76515,Group 20,BADEC,21
76516,Group 14,BCDEA,327
76517,Group 13,EBCAD,462
76518,Group 3,AEDBC,501
76519,Group 13,BDACE,744
76520,Group 17,DBAEC,817
76521,Group 10,ECBAD,810
76522,Group 5,CBEDA,941
76523,Group 1,BEACD,809
76524,Group 14,ABEDC,391
76525,Group 7,DCBEA,975
76526,Group 7,ECABD,752
76527,Group 14,BECDA,178
76528,Group 8,CDAEB,83
76529,Group 20,CBDEA,286
76530,Group 20,CDAEB,380
76531,Group 15,BECDA,872
76532,Group 18,EDCBA,830
76533,Group 8,DECBA,937
76534,Group 3,EABCD,516
76535,Group 6,EACBD,640
76536,Group 10,BAEDC,854
76537,Group 2,EACBD,38
76538,Group 14,ACBDE,215
76539,Group 19,CEABD,144
76540,Group 11,AECBD,640
76541,Group 18,DBCEA,271
76542,Group 4,DECAB,309
76543,Group 11,DEACB,642
76544,Group 2,BDCEA,383
76545,Group 19,DCABE,248
76546,Group 1,BDECA,89
76547,Group 2,DBCAE,932
76548,Group 4,AEBCD,196
76549,Group 13,ABECD,206
76550,Group 14,BECAD,553
76551,Group 17,DBCAE,34
76552,Group 12,CBADE,976
76553,Group 13,DABCE,512
76554,Group 2,CEDAB,617
76555,Group 8,ACDEB,76
76556,Group 8,EACDB,503
76557,Group 15,BEACD,657
76558,Group 17,BDAEC,155
76559,Group 1,ECBDA,887
76560,Group 11,CEDBA,773
76561,Group 8,CAEBD,877
76562,Group 11,ADEBC,372
76563,Group 15,ADBCE,139
76564,Group 9,BACED,400
76565,Group 9,EADBC,633
76566,Group 17,DEBCA,366
76567,Group 17,BDEAC,145
76568,Group 15,ACEDB,714
76569,Group 18,AEDBC,912
76570,Group 3,DEBAC,261
76571,Group 4,ADECB,257
76572,Group 14,ABCED,839
76573,Group 1,CBDAE,491
76574,Group 3,DACBE,40
76575,Group 14,EBDAC,244
76576,Group 18,ACDEB,660
76577,Group 10,ECBAD,314
76578,Group 14,CBEDA,16
76579,Group 12,CEBDA,359
76580,Group 2,CBDEA,95
76581,Group 8,CEBAD,545
76582,Group 2,EACDB,939
76583,Group 16,DEACB,798
76584,Group 8,BEACD,732
76585,Group 16,EABCD,823
76586,Group 11,EADBC,677
76587,Group 4,CBEAD,663
76588,Group 10,ADCBE,418
76589,Group 19,CDBAE,801
76590,Group 3,DBAEC,690
76591,Group 18,EACDB,380
76592,Group 14,CEDAB,17
76593,Group 13,DBECA,201
76594,Group 11,BDECA,217
76595,Group 1,CAEDB,802
76596,Group 17,DBCEA,217
76597,Group 15,AECDB,658
76598,Group 3,BAEDC,236
76599,Group 13,CEDAB,245
76600,Group 8,EBDAC,269
76601,Group 10,EBDCA,450
76602,Group 10,BEADC,903
76603,Group 12,DACEB,998
76604,Group 14,DEABC,579
76605,Group 16,EBADC,91
76606,Group 13,CBAED,438
76607,Group 19,CDABE,274
76608,Group 1,BECAD,984
76609,Group 5,EDBCA,10
76610,Group 2,ACDEB,833
76611,Group 20,BADEC,157
76612,Group 11,BECDA,718
76613,Group 17,ADEBC,665
76614,Group 19,BECAD,681
76615,Group 19,DBACE,671
76616,Group 10,ADECB,561
76617,Group 5,ADCBE,303
76618,Group 4,DBEAC,880
76619,Group 1,AECBD,197
76620,Group 19,DCEAB,3
76621,Group 2,EADCB,368
76622,Group 16,BDCEA,948
76623,Group 7,BCDEA,286
76624,Group 5,BDEAC,571
76625,Group 15,CEBAD,3
76626,Group 9,DABCE,820
76627,Group 8,DEACB,674
76628,Group 9,EADBC,718
76629,Group 10,CDBAE,29
76630,Group 20,CADEB,811
76631,Group 17,CEDAB,915
76632,Group 8,AEBCD,750
76633,Group 19,DACEB,507
76634,Group 10,BDCAE,626
76635,Group 14,BCDAE,241
76636,Group 20,DACEB,488
76637,Group 6,CDBAE,502
76638,Group 8,BDECA,99
76639,Group 14,EDACB,878
76640,Group 12,BADCE,482
76641,Group 10,DABEC,313
76642,Group 8,CDAEB,430
76643,Group 12,EBCAD,316
76644,Group 12,AEBDC,9
76645,Group 20,EABDC,466
76646,Group 1,EDBAC,157
76647,Group 13,EDABC,899
76648,Group 17,BCAED,929
76649,Group 4,BECDA,722
76650,Group 3,EDCAB,945
76651,Group 6,EBDAC,777
76652,Group 11,ACBED,837
76653,Group 5,CEDBA,705
76654,Group 10,DECBA,864
76655,Group 13,BAEDC,634
76656,Group 16,ADBCE,327
76657,Group 20,BCDEA,3
76658,Group 16,CEDAB,874
76659,Group 13,BCEAD,994
76660,Group 12,DABCE,913
76661,Group 14,BDACE,828
76662,Group 19,DABEC,795
76663,Group 10,ABCED,215
76664,Group 20,EADBC,184
76665,Group 19,CEABD,728
76666,Group 11,ECDBA,696
76667,Group 18,DEBAC,436
76668,Group 20,EDBAC,332
76669,Group 12,DCEBA,260
76670,Group 2,BDCAE,323
76671,Group 8,DEABC,103
76672,Group 2,CBEAD,431
76673,Group 3,CADEB,499
76674,Group 10,ADBEC,411
76675,Group 16,ECBDA,119
76676,Group 14,BEDCA,51
76677,Group 13,DABEC,166
76678,Group 12,BEDCA,472
76679,Group 5,EACBD,731
76680,Group 20,EDBCA,809
76681,Group 6,CEDBA,560
76682,Group 20,EABDC,319
76683,Group 2,CBDAE,865
76684,Group 9,EDBCA,976
76685,Group 14,BEDAC,543
76686,Group 18,DBACE,156
76687,Group 15,CDEBA,993
76688,Group 18,DABCE,840
76689,Group 8,CBADE,793
76690,Group 2,CABED,689
76691,Group 7,ADEBC,875
76692,Group 5,DEBCA,233
76693,Group 11,DAECB,480
76694,Group 2,BCAED,575
76695,Group 12,ADBCE,305
76696,Group 3,BDACE,594
76697,Group 2,DEBCA,933
76698,Group 13,DACBE,406
76699,Group 3,BCDEA,902
76700,Group 9,CBAED,54
76701,Group 6,DBECA,352
76702,Group 6,EBCAD,397
76703,Group 12,AEBCD,748
76704,Group 10,AEDCB,960
76705,Group 18,CADEB,418
76706,Group 2,CDAEB,647
76707,Group 5,EADCB,461
76708,Group 7,CDBAE,900
76709,Group 6,EBCDA,761
76710,Group 13,EADBC,328
76711,Group 14,CADBE,28
76712,Group 11,ADCBE,975
76713,Group 5,CDEAB,784
76714,Group 16,EDCAB,820
76715,Group 12,DBEAC,206
76716,Group 19,CDBEA,683
76717,Group 9,EDBAC,816
76718,Group 6,ADBCE,108
76719,Group 17,DBEAC,848
76720,Group 2,BADCE,117
76721,Group 8,DCBEA,60
76722,Group 12,ADBEC,675
76723,Group 15,EDCAB,278
76724,Group 13,DBACE,374
76725,Group 15,EACDB,982
76726,Group 4,BCAED,4
76727,Group 9,ABECD,501
76728,Group 15,AEBCD,129
76729,Group 7,ECADB,206
76730,Group 5,CBEAD,944
76731,Group 14,DEACB,436
76732,Group 7,ACDBE,274
76733,Group 5,ABCDE,685
76734,Group 2,EADCB,414
76735,Group 2,BADEC,826
76736,Group 19,ACBDE,963
76737,Group 12,BDCEA,670
76738,Group 20,BACDE,941
76739,Group 9,ADEBC,514
76740,Group 8,ACEBD,710
76741,Group 9,CBADE,30
76742,Group 19,EDBCA,540
76743,Group 10,ADCBE,836
76744,Group 4,EACBD,782
76745,Group 7,ACBED,263
76746,Group 5,BACDE,834
76747,Group 8,BCDAE,213
76748,Group 20,BCDEA,538
76749,Group 20,DEBCA,402
76750,Group 6,BEADC,403
76751,Group 8,EBDAC,661
76752,Group 17,EBDCA,779
76753,Group 15,EBADC,263
76754,Group 4,EACDB,419
76755,Group 10,DEACB,498
76756,Group 3,CDAEB,493
76757,Group 11,BDECA,882
76758,Group 9,DCBAE,63
76759,Group 5,ECDAB,933
76760,Group 7,EBDAC,917
76761,Group 15,ECDAB,951
76762,Group 16,CAEBD,803
76763,Group 15,DCBAE,339
76764,Group 13,ABCED,878
76765,Group 15,EBACD,915
76766,Group 18,BEACD,450
76767,Group 18,CADBE,826
76768,Group 5,CDBEA,163
76769,Group 12,DEBCA,277
76770,Group 11,CBDEA,702
76771,Group 17,EACBD,61
76772,Group 4,ACDBE,303
76773,Group 17,ADECB,450
76774,Group 19,DACEB,332
76775,Group 9,ADECB,172
76776,Group 12,EDCBA,238
76777,Group 17,DEABC,200
76778,Group 5,CEADB,719
76779,Group 16,EADBC,723
76780,Group 8,DCBEA,947
76781,Group 11,ACBDE,314
76782,Group 14,DAEBC,635
76783,Group 10,BDCEA,618
76784,Group 2,ECDBA,851
76785,Group 9,CBDAE,697
76786,Group 7,CEBDA,461
76787,Group 10,EDCBA,21
76788,Group 9,BADCE,378
76789,Group 4,BCADE,674
76790,Group 19,ABDEC,977
76791,Group 13,EDABC,679
76792,Group 17,BDAEC,214
76793,Group 11,DCEAB,305
76794,Group 14,CBAED,858
76795,Group 7,BDACE,596
76796,Group 3,EDCBA,801
76797,Group 16,CEABD,447
76798,Group 2,CBEAD,252
76799,Group 12,EABDC,99
76800,Group 20,DCABE,501
76801,Group 20,BCDAE,255
76802,Group 6,BCADE,306
76803,Group 18,DBAEC,794
76804,Group 14,ABCDE,910
76805,Group 13,BAEDC,2
76806,Group 9,BEADC,916
76807,Group 7,EDABC,284
76808,Group 10,DCEBA,334
76809,Group 16,EBADC,370
76810,Group 14,AECDB,723
76811,Group 6,CBAED,658
76812,Group 1,ECDBA,660
76813,Group 6,ADCBE,939
76814,Group 17,EACDB,444
76815,Group 1,BDCAE,386
76816,Group 5,DEACB,616
76817,Group 15,ECADB,683
76818,Group 19,CDEBA,963
76819,Group 10,EDABC,460
76820,Group 4,BDECA,733
76821,Group 16,CBADE,485
76822,Group 9,AEBCD,17
76823,Group 13,EBDCA,975
76824,Group 13,AEDBC,743
76825,Group 9,EADBC,663
76826,Group 7,BCDEA,639
76827,Group 8,BCEDA,646
76828,Group 9,BCAED,350
76829,Group 4,CAEDB,641
76830,Group 11,BDEAC,584
76831,Group 5,ACDBE,510
76832,Group 16,DEBCA,185
76833,Group 4,CAEBD,709
76834,Group 10,CAEBD,568
76835,Group 6,DEABC,705
76836,Group 9,ABDEC,658
76837,Group 19,AECDB,27
76838,Group 14,EBDCA,790
76839,Group 4,BDCAE,237
76840,Group 13,ADEBC,694
76841,Group 7,DEABC,529
76842,Group 4,ACEDB,808
76843,Group 14,ACBED,706
76844,Group 5,CAEDB,446
76845,Group 15,BDCAE,94
76846,Group 5,BAEDC,323
76847,Group 2,CAEDB,845
76848,Group 6,ADECB,596
76849,Group 10,BECDA,532
76850,Group 17,ACDBE,881
76851,Group 1,CABDE,939
76852,Group 1,DCAEB,363
76853,Group 18,DEACB,141
76854,Group 6,DBECA,558
76855,Group 7,EABCD,979
76856,Group 1,ABCED,968
76857,Group 11,EDABC,375
76858,Group 11,CDBEA,109
76859,Group 2,DCBAE,852
76860,Group 13,ACDEB,37
76861,Group 16,BEDAC,401
76862,Group 16,ACBED,270
76863,Group 5,ADBCE,745
76864,Group 10,BDCAE,343
76865,Group 8,BDAEC,462
76866,Group 10,BCDAE,125
76867,Group 7,DACBE,758
76868,Group 17,CEABD,359
76869,Group 4,AEDBC,181
76870,Group 8,ADBEC,47
76871,Group 11,ACDEB,901
76872,Group 13,BEADC,4
76873,Group 13,DCBAE,170
76874,Group 10,EACDB,423
76875,Group 5,ABEDC,104
76876,Group 10,DABEC,921
76877,Group 10,DABEC,990
76878,Group 4,DCAEB,178
76879,Group 16,AECBD,369
76880,Group 10,DCEAB,60
76881,Group 15,AEDBC,596
76882,Group 12,DBCEA,14
76883,Group 17,ABDCE,561
76884,Group 5,ECDBA,677
76885,Group 16,AEBCD,145
76886,Group 14,BDCEA,857
76887,Group 20,BCEAD,309
76888,Group 15,ACBED,697
76889,Group 11,BCEAD,822
76890,Group 9,DECBA,966
76891,Group 2,DBECA,284
76892,Group 13,ECDAB,116
76893,Group 7,CEABD,782
76894,Group 12,EDABC,296
76895,Group 9,EADBC,125
76896,Group 3,ABDCE,295
76897,Group 10,DBEAC,638
76898,Group 19,EBCDA,579
76899,Group 11,ACEBD,447
76900,Group 15,CEBAD,600
76901,Group 1,BDAEC,658
76902,Group 11,DAEBC,15
76903,Group 20,EBCAD,284
76904,Group 13,BCEDA,499
76905,Group 17,ADBCE,381
76906,Group 6,DAEBC,591
76907,Group 16,DEABC,634
76908,Group 11,AECDB,234
76909,Group 5,ABCDE,983
76910,Group 1,EBCAD,304
76911,Group 11,BEDCA,465
76912,Group 2,CDEBA,17
76913,Group 11,CEABD,802
76914,Group 8,EBACD,918
76915,Group 4,CDBAE,540
76916,Group 2,DEACB,840
76917,Group 19,DEACB,219
76918,Group 2,ACBED,487
76919,Group 10,BADEC,156
76920,Group 20,ACBDE,838
76921,Group 4,CBADE,179
76922,Group 12,DABCE,437
76923,Group 6,CDBEA,77
76924,Group 5,ADBCE,262
76925,Group 2,DABCE,348
76926,Group 18,DEABC,681
76927,Group 2,BDAEC,569
76928,Group 15,DECBA,616
76929,Group 13,EADCB,552
76930,Group 13,DCEBA,903
76931,Group 5,BDACE,723
76932,Group 13,DEACB,78
76933,Group 5,ADCEB,912
76934,Group 9,DACEB,487
76935,Group 10,ADBEC,689
76936,Group 11,DAEBC,85
76937,Group 19,BDEAC,576
76938,Group 3,DBCAE,597
76939,Group 19,EDBCA,978
76940,Group 3,ACDBE,384
76941,Group 16,CABDE,305
76942,Group 4,BEDAC,474
76943,Group 11,BDEAC,818
76944,Group 12,ABCED,364
76945,Group 18,BDCEA,150
76946,Group 20,EADBC,773
76947,Group 16,ADBEC,655
76948,Group 17,BDECA,862
76949,Group 3,BECAD,364
76950,Group 18,EACDB,308
76951,Group 12,EBACD,379
76952,Group 19,BCDEA,818
76953,Group 3,EABDC,48
76954,Group 6,ACEDB,630
76955,Group 4,ABECD,475
76956,Group 9,DCAEB,549
76957,Group 12,ACEDB,535
76958,Group 17,CDBAE,91
76959,Group 5,EABCD,845
76960,Group 16,ACBED,218
76961,Group 11,AEDBC,36
76962,Group 3,ECDBA,896
76963,Group 3,CADEB,17
76964,Group 8,EACBD,407
76965,Group 1,BACDE,59
76966,Group 14,ADECB,869
76967,Group 6,AECBD,113
76968,Group 3,EBDAC,528
76969,Group 8,ACBDE,743
76970,Group 11,CDEAB,485
76971,Group 12,CDBEA,839
76972,Group 5,EBACD,934
76973,Group 18,BAECD,951
76974,Group 15,CEADB,988
76975,Group 4,CADBE,562
76976,Group 16,AEBCD,278
76977,Group 1,BDCAE,450
76978,Group 10,CDEAB,38
76979,Group 2,BCDEA,210
76980,Group 13,BAEDC,48
76981,Group 18,DEACB,247
76982,Group 11,CDEBA,97
76983,Group 2,ADCBE,51
76984,Group 12,BCADE,368
76985,Group 13,EABDC,649
76986,Group 8,ABECD,282
